fill	x	y
#2C2C2C	0.498065219709249	-0.867139571762226
#FFFFFF	-0.982667251668544	-0.185378187762718
#525252	0.000718638109997061	0.9999997417796
#1D1D1D	0.946425589001265	-0.322921978941677
#282828	0.796868738278542	0.604152475749594
#222222	0.548174910991955	0.836363716907281
#313131	0.920870495997605	0.389868605559776
#303030	0.825095140135845	-0.564993813881365
#2B2B2B	0.604094477457969	-0.796912706828536
#585858	-0.241481975040392	-0.970405304875541
#2E2E2E	0.486182486878376	-0.873857304971903
#BBBBBB	-0.918301483833179	-0.395881781330969
#3A3A3A	0.959327819994512	0.282294409765014
#909090	-0.693121619290153	0.720820657911936
#3E3E3E	0.171233301566517	0.98523050928939
#9B9B9B	-0.87771802616382	-0.479177489608066
#1B1B1B	0.496523639853363	-0.868023199613218
#696969	-0.360458198782898	-0.932775367883495
#343434	0.772060673687914	0.635548830653133
#393939	0.947302770050785	0.320339603942611
#B9B9B9	-0.949600451347851	0.313462889031472
#5B5B5B	-0.198099291595581	0.980181957939101
#333333	0.921641809514999	-0.388041718058663
#C0C0C0	-0.935049488544223	-0.354517212520332
#A9A9A9	-0.70090808384377	0.713251609183221
#7D7D7D	-0.614857973806769	0.788637858618413
#3B3B3B	0.509280500110181	0.860600588082255
#242424	0.242933146800896	0.97004303316163
#242424	0.875792871611686	0.482687109869485
#8B8B8B	-0.693008080828927	0.720929816213623
#464646	0.579350314404203	0.815078654609327
#2F2F2F	0.475643476646894	-0.879638154654092
#525252	-0.261511517245203	0.965200355547029
#737373	-0.206878769612138	-0.978366585020036
#C8C8C8	-0.93405347272758	-0.35713318256016
#2C2C2C	0.916463129622115	-0.400119147308946
#E2E2E2	-0.921459105180594	-0.388475375641468
#ADADAD	-0.86193689676656	0.507015567800864
#323232	0.11465592689973	0.993405263941541
#E4E4E4	-0.999999588895408	0.000906757417568647
#4A4A4A	-0.0699307196267207	0.997551850508277
#F0F0F0	-0.999933581774602	-0.0115252782792597
#2D2D2D	0.981760694429856	-0.190120853334418
#F2F2F2	-0.969699323359051	0.244301498720328
#1A1A1A	0.604061834379161	0.796937450648722
#303030	0.321577141750173	-0.946883383476439
#848484	-0.543256787237794	0.839566592427349
#3C3C3C	0.962686582197901	-0.270618817631227
#151515	0.971964604226968	-0.235127216905897
#020202	0.729091508249454	0.684416227597313
#6C6C6C	0.121386095475674	0.992605367618557
#9D9D9D	-0.901687621006734	-0.432388059644593
#0C0C0C	0.971076473613152	0.238768679677726
#262626	0.995232852956795	-0.0975272700093581
#626262	0.0529226662307482	-0.998598613757814
#272727	0.329039974917925	0.944315993143191
#7C7C7C	-0.449043586204366	-0.893509853157044
#393939	0.796765035289484	0.604289234175281
#A0A0A0	-0.532137531192738	-0.846657928502473
#B6B6B6	-0.950586249465626	-0.310460597060036
#202020	0.599587977141654	0.800308851423736
#3E3E3E	0.514137839647159	-0.857707573618744
#B5B5B5	-0.939597413318533	-0.342281610498024
#494949	0.513473303629371	-0.858105568365536
#292929	0.308738867450702	0.951146840254047
#5E5E5E	-0.223636393135631	-0.974672644360806
#B8B8B8	-0.85686217041933	-0.515545556575047
#555555	-0.0934146531571838	-0.995627290995744
#585858	-0.34113251204192	0.940015217551274
#6F6F6F	-0.517426956993327	-0.855727377250854
#7B7B7B	-0.570359670733367	0.821395060857396
#2A2A2A	0.760302733673524	0.649568897938138
#2B2B2B	0.767607020411915	0.640920792465296
#B2B2B2	-0.935685254707115	0.352835803347223
#2B2B2B	0.599531325623084	-0.800351291369376
#1F1F1F	0.861872759138833	0.507124587310076
#7E7E7E	-0.439890754557897	0.898051292552093
#5F5F5F	0.817188061143469	-0.576371124124533
#B3B3B3	-0.999986981792966	0.00510257235077685
#959595	-0.988649843040638	-0.150238103874223
#8B8B8B	-0.669257798675645	0.74303028128861
#9D9D9D	-0.701183013192644	-0.712981333563568
#D1D1D1	-0.999982468043331	0.00592145302842144
#2F2F2F	0.813066184122334	-0.582171263664522
#2C2C2C	0.992171384139156	-0.124883723901037
#A8A8A8	-0.608497775679738	0.793555579019397
#3E3E3E	0.436600369124769	-0.899655555020984
#757575	-0.219123940493406	0.975697032230109
#ADADAD	-0.855716122818535	-0.517445569261554
#A0A0A0	-0.69227491879425	-0.721633866173432
#242424	0.660113771942226	0.751165632928056
#6C6C6C	-0.312067416502961	0.950059959979983
#262626	0.309542008084669	-0.950885768760323
#767676	-0.472862385624064	-0.881136291536059
#000000	0.54567424180138	-0.837997387725337
#545454	0.996679745105807	0.0814216537281323
#979797	-0.570475243758963	0.821314797296476
#636363	-0.446582250328851	-0.894742585155764
#181818	0.0180338189969193	0.999837377463148
#9C9C9C	-0.671360668504613	-0.741130793305095
#4B4B4B	0	1
#505050	-2.44929359829471e-16	1
