colour	x	y	group	showSelectedlegendcolour	showSelected.variable	showSelected.value	PANEL
#EE82EE	0	1.10499310824741	1	prediction	degrees01	3	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	4	1
#EE82EE	0	0.902940524887808	1	prediction	degrees01	5	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	7	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	10	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	14	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	19	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	26	1
#EE82EE	0	0.5102297289432	1	prediction	degrees01	35	1
#EE82EE	0	0.309721671262113	1	prediction	degrees01	48	1
#EE82EE	0	0.962707503509992	1	prediction	degrees01	65	1
#EE82EE	0	0.931594215283641	1	prediction	degrees01	88	1
#EE82EE	0	0.806359939863589	1	prediction	degrees01	119	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	162	1
#EE82EE	0	0.791521276252028	1	prediction	degrees01	219	1
#EE82EE	0	-0.0937698715198084	1	prediction	degrees01	297	1
#EE82EE	0	0.977898978876149	1	prediction	degrees01	402	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	545	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	738	1
#EE82EE	0	1.10499310824741	1	prediction	degrees01	1000	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	3	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	4	1
#EE82EE	0.0411749342441592	0.902869834462467	1	prediction	degrees01	5	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	7	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	10	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	14	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	19	1
#EE82EE	0.0411749342441592	1.10499310824741	1	prediction	degrees01	26	1
#EE82EE	0.0411749342441592	0.510555462415927	1	prediction	degrees01	35	1
#EE82EE	0.0411749342441592	0.310227281546925	1	prediction	degrees01	48	1
#EE82EE	0.0411749342441592	0.962663390427189	1	prediction	degrees01	65	1
#EE82EE	0.0411749342441592	0.931448493620818	1	prediction	degrees01	88	1
#EE82EE	0.0411749342441592	0.80637462158999	1	prediction	degrees01	119	1
#EE82EE	0.0411749342441592	-0.0937698715198084	1	prediction	degrees01	162	1
#EE82EE	0.0411749342441592	0.791938152507558	1	prediction	degrees01	219	1
#EE82EE	0.0411749342441592	-0.0937698715198084	1	prediction	degrees01	297	1
